管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項	
愛知労働局	平成29年９月30日	大宝運輸（株）	愛知県名古屋市中区	H29.9.4	労働基準法第32条	４事業場で、複数の労働者について、月80時間超の時間外・休日労働が認められ、かつ、労働基準法第32条の違反が認められるとして是正勧告を受けたもの	H29.9.4	愛知労働局長が指導
愛知労働局	平成29年９月30日	（同）ハイスペック	愛知県江南市	H29.9.4	労働基準法第24条	労働者1名に、２か月間の定期賃金合計約９万円を支払わなかったもの	H29.9.4送検	
愛知労働局	平成29年９月30日	（株）ゆずりは	愛知県一宮市	H29.9.5	労働基準法第24条	労働者１名に、１か月間の定期賃金合計約２万円を支払わなかったもの	H29.9.5送検	
愛知労働局	平成29年９月30日	（株）なかてつ	愛知県稲沢市	H29.9.5	労働安全衛生法第21条,労働安全衛規則第526条	高さ約1.8ｍの場所での作業において、安全に昇降するための設備等を設けていなかったもの	H29.9.5送検	
愛知労働局	平成29年９月30日	（株）麦島建設	愛知県名古屋市昭和区	H29.9.5	労働安全衛生法第31条,労働安全衛規則第653条	高さ約1.8ｍの場所で請負人の労働者に作業させる際に安全に昇降するための設備等を設けていなかったもの	H29.9.5送検	
愛知労働局	平成29年９月30日	（株）ナイガイ	愛知県一宮市	H29.9.19	労働基準法第37条	技能実習生４名に、１か月間の時間外労働の割増賃金合計約30万円を支払わなかったもの	H29.9.19送検	
愛知労働局	平成29年９月30日	（株）エフベーカリーコーポレーション	愛知県春日井市	H29.9.22	労働安全衛生法第20条,労働安全衛生規則第150条の４	産業用ロボットを運転する場合に接触することによる危険を防止するために必要な措置を講じなかったもの	H29.9.22送検	
愛知労働局	平成29年９月30日	愛新物産（株）	愛知県春日井市	H29.9.22	労働基準法第24条	労働者３名に、３か月間の定期賃金合計約170万円を支払わなかったもの	H29.9.22送検	
三重労働局	平成29年９月30日	（株）アンデルセン	三重県松阪市	H28.10.11	労働基準法第37条	労働者７名に、１か月間の時間外労働の割増賃金合計約96万円を支払わなかったもの	H28.10.11送検	
三重労働局	平成29年９月30日	宮本塗装店	三重県伊勢市	H28.11.28	労働安全衛生法第21条,労働安全衛生規則第524条	スレート屋根上に歩み板等を設けることなく労働者に高さ約８ｍの高所作業を行わせたもの	H28.11.28送検	
三重労働局	平成29年９月30日	ＳＫエンジニアリング（有）	三重県松阪市	H28.11.14	労働安全衛生法第21条,労働安全衛生規則第519条	安全帯を使用させることなく労働者に高さ3.9ｍの高所作業を行わせたもの	H28.11.14送検	
三重労働局	平成29年９月30日	（有）日新商会	三重県名張市	H28.11.14	労働安全衛生法第21条,労働安全衛生規則第519条	作業床の端全面に囲い等を設けることなく労働者に高さ3.7ｍの高所作業を行わせたもの	H28.11.14送検	
三重労働局	平成29年９月30日	（株）ＳＫスズキ	三重県松阪市	H28.12.8	労働安全衛生法第21条,労働安全衛生規則第519条	高さ3.5ｍの２階床の開口部に手すり等を設けることなく労働者に作業を行わせたもの	H28.12.8送検	
三重労働局	平成29年９月30日	日進建設（株）	三重県四日市市	H28.12.8	労働安全衛生法第31条,労働安全衛生規則第653条	２階床の開口部に手すり等を設ける措置を注文者（元請）として講じることなく労働者に作業を行わせたもの	H28.12.8送検	
三重労働局	平成29年９月30日	（有）丸騠	三重県尾鷲市	H29.6.16	労働安全衛生法第20条,労働安全衛生規則第130条の５	食品加工用粉砕機に蓋、囲い等を設けることなく労働者に作業を行わせたもの	H29.6.16送検	
三重労働局	平成29年９月30日	小林瓦工業	三重県四日市市	H29.6.21	労働安全衛生法第21条,労働安全衛生規則第519条	安全帯を使用させることなく労働者に高さ約４ｍの高所作業を行わせたもの	H29.6.21送検	
三重労働局	平成29年９月30日	（株）ウィル	三重県志摩市	H29.6.23	最低賃金法第４条	労働者６名に、約３か月間の定期賃金合計約140万円を支払わなかったもの	H29.6.23送検	
三重労働局	平成29年９月30日	中西総合運輸（株）	三重県伊賀市	H29.7.25	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.7.25送検	
三重労働局	平成29年９月30日	（株）ブルーフィン三重	三重県度会郡南伊勢町	H29.9.22	労働安全衛生法第20条,労働安全衛生規則第151条の６	フォークリフトの転落による労働者の危険を防止するため必要な措置を講じなかったもの	H29.9.22送検	
滋賀労働局	平成29年８月31日	（有）大樹	京都府京都市伏見区	H28.11.1	労働安全衛生法第20条,労働安全衛生規則第164条,労働者派遣法第45条	車両系建設機械（コンクリート圧砕機）をその主たる用途以外の作業に使用したもの	H28.11.1送検	
滋賀労働局	平成29年８月31日	（株）奥田工務店	滋賀県蒲生郡日野町	H29.1.25	労働安全衛生法第31条,労働安全衛生規則第653条	請負人の労働者に高さ9.8ｍの作業床を使用させるに際し、手すり等を設けていなかったもの	H29.1.25送検	
滋賀労働局	平成29年８月31日	修荘板金	三重県伊賀市	H29.1.25	労働安全衛生法第21条,労働安全衛生規則第519条	高さ9.8ｍの作業床で作業を行わせるに当たり、作業床の端に手すり等を設けていなかったもの	H29.1.25送検	
滋賀労働局	平成29年８月31日	（株）エコパレット滋賀	滋賀県甲賀市	H29.7.20	労働安全衛生法第20条,労働安全衛生規則第107条	原料の除去作業を労働者に行わせる際、近接するスクリューコンベアの運転を停止をさせなかったもの	H29.7.20送検	
滋賀労働局	平成29年８月31日	松本鋲螺製作所	滋賀県彦根市	H29.8.7	労働安全衛生法第20条,労働安全衛生規則第256条	金属製容器に入れた引火性の油を石油ストーブに接近させたもの	H29.8.7送検	
京都労働局	平成29年９月30日	舟橋工業	京都府舞鶴市	H28.10.20	労働安全衛生法第21条,労働安全衛生規則第518条	高さ2.8ｍの家屋解体工事で足場等を設けることなく労働者に解体作業を行わせたもの	H28.10.20送検	
京都労働局	平成29年９月30日	（株）グリーンファーム京都	京都府相楽郡山城村	H28.12.20	労働安全衛生法第20条,労働安全衛生規則第151条の65	労働者にサイドブレーキが有効な状態でないバキュームカーを使用させたもの	H28.12.20送検	
京都労働局	平成29年９月30日	（株）騠橋組	兵庫県神戸市兵庫区	H29.1.25	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約30ｍの屋上で手すり等を設けず労働者に足場の組立作業を行わせたもの	H29.1.25送検	
京都労働局	平成29年９月30日	日本合繊工業（株）	京都府京都市南区	H29.3.24	労働安全衛生法第20条,労働安全衛生規則第107条	樹脂加工装置の運転を停止しないまま、同装置の回転ローラーの掃除を労働者に行わせたもの	H29.3.24送検	
京都労働局	平成29年９月30日	（株）ナイキシステム	京都府久世郡久御山町	H29.3.30	最低賃金法第４条	"労働者10名に２か月間の定期賃金合計約1	349万円を支払わなかったもの"	H29.3.30送検	
京都労働局	平成29年９月30日	（一社）貿易振興協力会	京都府京都市右京区	H29.3.30	労働基準法第24条	労働者２名に５か月間の定期賃金合計約84万円を支払わなかったもの	H29.3.30送検	
京都労働局	平成29年９月30日	（株）電通　京都支社	京都府京都市下京区	H29.4.25	労働基準法第32条	労働者２名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.4.25送検	H29.7.5不起訴
京都労働局	平成29年９月30日	酒菜　大地の蔵	京都府舞鶴市	H29.5.10	最低賃金法第４条	労働者1名に対し、京都府最低賃金額以上の賃金を支払っていなかったもの	H29.5.10送検	
京都労働局	平成29年９月30日	（株）ＲＡＩＺＯ	京都市下京区	H29.6.5	労働基準法第32条	労働者１名に、36協定の締結・届出を行うことなく、違法な時間外労働を行わせたもの	H29.6.5送検	
京都労働局	平成29年９月30日	（有）北日本工業	京都府舞鶴市	H29.6.28	労働安全衛生法第21条,労働安全衛生規則第524条	高さ約10ｍのスレート屋根上で、歩み板や防網を張る等なく、下請労働者に作業を行わせていたもの	H29.6.28送検	
京都労働局	平成29年９月30日	（有）舞鶴小型運送社	京都府舞鶴市	H29.8.2	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.8.2送検	
京都労働局	平成29年９月30日	（有）えいと	京都府福知山市	H29.8.28	最低賃金法第４条	労働者４名に、約８か月間の定期賃金合計約84万円を支払わなかったもの	H29.8.28送検	
京都労働局	平成29年９月30日	（株）プラスバリューケア	京都府京都市伏見区	H29.9.25	最低賃金法第４条	"労働者53名に、３か月分の定期賃金合計約2	218万円を支払わなかったもの"	H29.8.28送検	
大阪労働局	平成29年９月30日	（株）コノミヤ	大阪府大阪市鶴見区	H28.10.20	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H28.10.20送検	H29.7.7有罪確定
大阪労働局	平成29年９月30日	井口運輸（株）　摂津事業所	大阪府大阪市東淀川区	H28.10.27	労働安全衛生法第61条,労働安全衛生法施行令第20条,労働安全衛生規則41条	車両系荷役運搬機械（フォークリフト）の運転資格を有しない労働者に運転させていたもの	H28.10.27送検	
大阪労働局	平成29年９月30日	三交商会	大阪府大阪市西成区	H28.10.28	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したにもかかわらず、労働者死傷病報告を提出しなかったもの	H28.10.28送検	
大阪労働局	平成29年９月30日	光陽工業（株）	大阪府大東市	H28.11.4	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械の安全措置を使用させる等の措置を講じなかったもの	H28.11.4送検	
大阪労働局	平成29年９月30日	大豊製罐（株）	大阪府豊中市	H28.11.10	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したにもかかわらず、労働者死傷病報告を提出しなかったもの	H28.11.10送検	
大阪労働局	平成29年９月30日	（有）ミツトヨ製作所	大阪府大東市	H28.12.15	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械を用いて鉄板の抜き加工作業を行わせるに際して安全確保措置をとっていなかったもの	H28.12.15送検	
大阪労働局	平成29年９月30日	（株）翔慶	大阪府門真市	H28.12.15	労働安全衛生法第20条,労働安全衛生規則第164条	解体工事を行うに際して、車両系建設機械（掘削用）をその主たる用途以外の用途に使用したもの	H28.12.15送検	
大阪労働局	平成29年９月30日	（株）福村	大阪府岸和田市	H28.12.27	労働安全衛生法第21条,労働安全衛生規則第524条	屋根の改修工事において、スレート屋根の踏み抜き防止措置を怠ったもの	H28.12.27送検	
大阪労働局	平成29年９月30日	諸星運輸（株）　岸和田営業所	神奈川県小田原市	H29.1.24	労働基準法第32条	労働者１名に、36協定の締結・届出なく、違法な時間外労働を行わせたもの	H29.1.24送検	
大阪労働局	平成29年９月30日	（株）日進工業	大阪府大阪市生野区	H29.3.6	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第134条,	プレス機械の切替キースイッチを作業主任者が保管せず、プレス作業主任者としての職務を行わせなかったもの	H29.3.6送検	
大阪労働局	平成29年９月30日	（株）山並工務店	大阪府箕面市	H29.3.13	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上の労働災害が発生したにもかかわらず、労働者死傷病報告を提出しなかったもの	H29.3.13送検	
大阪労働局	平成29年９月30日	岸和田製鋼（株）	大阪府岸和田市	H29.3.13	労働安全衛生法第30条の２,労働安全衛生規則第643条の２	工場内で排ガス処理装置のダスト排出ゲートを点検するに際し、関係請負人との連絡調整を行わなかったもの	H29.3.13送検	
大阪労働局	平成29年９月30日	（株）三木組	大阪府大阪市淀川区	H29.3.13	労働安全衛生法第91条	労働基準監督官の臨検時に労働災害が発生していない旨の虚偽の陳述を行ったもの	H29.3.13送検	
大阪労働局	平成29年９月30日	卜キハマエキスプレス（株）	大阪府泉南郡熊取町	H29.3.28	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.3.28送検	
大阪労働局	平成29年９月30日	朝比奈建材（株）	大阪府和泉市	H29.4.6	労働安全衛生法第21条,労働安全衛生規則第362条	コンクリートブロック塀に近接した箇所で掘削の作業を行うに際して危険防止措置を講じなかったもの	H29.4.6送検	
大阪労働局	平成29年９月30日	（株）中山石渠	大阪府豊中市	H29.4.6	労働安全衛生法第21条,労働安全衛生規則第519条	生垣の剪定作業を行わせるに際して、墜落防止措置を講じていなかったもの	H29.4.6送検	
大阪労働局	平成29年９月30日	（株）太陽製作所	大阪府大阪市平野区	H29.4.13	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な長時間労働を行わせたもの	H29.4.13送検	
大阪労働局	平成29年９月30日	（有）神農物流	大阪府東大阪市	H29.4.13	労働安全衛生法第45条,労働安全衛生法施行令第15条,クレーン等安全規則第34条	床上操作式天井クレーンについて、１年以内ごとに１回、定期に自主検査を実施していなかったもの	H29.4.13送検	
大阪労働局	平成29年９月30日	（株）電通　関西支社	大阪府大阪市北区	H29.4.25	労働基準法第32条	労働者１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.4.25送検	H29.7.5不起訴
大阪労働局	平成29年９月30日	華福貿易（株）	大阪府和泉市	H29.4.28	労働安全衛生法第21条,労働安全衛生規則第518条	扉の設置作業において、作業床を設置する等の墜落防止措置を講じなかったもの	H29.4.28送検	
大阪労働局	平成29年９月30日	中央砕石（株）	大阪府高槻市	H29.5.11	労働安全衛生法第20条,労働安全衛生規則第155条	車両系建設機械を用いて作業をさせるに際して、作業計画を定め、当該作業計画により作業を行わせなかったもの	H29.5.11送検	
大阪労働局	平成29年９月30日	天帝建設（株）	大阪府大阪市北区	H29.6.6	労働安全衛生法第20条,労働安全衛生規則第158条,労働者派遣法第45条	車両系建設機械を用いて作業をさせるに際して、接触の危険のある箇所に労働者に立ち入らせたもの	H29.6.6送検	
大阪労働局	平成29年９月30日	（有）オーケイ製作所	大阪府大阪市西淀川区	H29.8.8	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第134条,	プレス機械の切替キースイッチを作業主任者が保管せず、プレス作業主任者としての職務を行わせなかったもの	H29.8.8送検	
大阪労働局	平成29年９月30日	須賀工業（株）　大阪支社	大阪府大阪市西区	H29.8.29	労働基準法第35条	労働者１名に、36協定の範囲を超える違法な休日労働を行わせたもの	H29.8.29送検	
大阪労働局	平成29年９月30日	荒木運輸（株）　東大阪ＣＦセンター	大阪府東大阪市	H29.9.7	労働基準法第32条	労働者３名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.9.7送検	
大阪労働局	平成29年９月30日	渡辺電気工業（株）	大阪府高槻市	H29.9.12	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H29.9.12送検	
大阪労働局	平成29年９月30日	山本鉄器工業（株）	大阪府大阪市生野区	H29.9.14	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械の有効な安全装置を使用させる等の措置を講じなかったもの	H29.9.14送検	
大阪労働局	平成29年９月30日	（株）ケイズプロジェクト	大阪府大阪市中央区	H29.9.25	労働安全衛生法第66条,労働安全衛生規則第44条	常時使用する労働者に対し、医師による定期健康診断を実施していなかったもの	H29.9.25送検	
大阪労働局	平成29年９月30日	龍美建装	大阪府豊中市	H29.9.26	労働安全衛生法第21条,労働安全衛生規則第519条	高さ約６ｍの屋根の上で、安全帯を使用させることなく労働者に作業を行わせたもの	H29.9.26送検	
大阪労働局	平成29年９月30日	（株）天徳工業　第二工場	大阪府大阪市平野区	H29.9.29	労働安全衛生法第20条,労働安全衛生規則第131条	プレス機械の有効な安全装置を使用させる等の措置を講じなかったもの	H29.9.29送検	
兵庫労働局	平成29年９月30日	ミナト電機工業（株）	兵庫県姫路市	H28.11.10	労働安全衛生法第100条,労働安全衛生規則第97条	事実とは異なる災害発生状況を記載した虚偽の労働者死傷病報告を、所轄労基署に提出したもの	H28.11.10送検	
兵庫労働局	平成29年９月30日	山本建設	兵庫県姫路市	H28.11.29	労働基準法第62条,年少者労働基準規則第８条	年少者（当時17歳）を、禁止されている足場の組立作業に従事させたもの	H28.11.29送検	
兵庫労働局	平成29年９月30日	淡路貨物自動車（株）	兵庫県洲本市	H28.11.29	最低賃金法第４条	労働者10名に、２年11か月にわたり所定賃金（累計総額約5 000万円）を所定支払日に支払わなかったもの	H28.11.29送検	
兵庫労働局	平成29年９月30日	（株）家島ドック	兵庫県姫路市	H29.1.20	労働安全衛生法第20条,クレーン等安全規則第26条	無資格者に吊上げ荷重５トン以上クレーンを運転させ、かつ同クレーンで違法に人を吊り上げて作業したもの	H29.1.20送検	
兵庫労働局	平成29年９月30日	（株）安田	京都府京都市南区	H29.2.17	労働安全衛生法第21条,労働安全衛生規則第519条	解体工事現場で、直下まで高さ約25ｍある開口部の周囲に墜落防止措置を行っていなかったもの	H29.2.17送検	
兵庫労働局	平成29年９月30日	（株）オードレマン	兵庫県尼崎市	H29.3.8	最低賃金法第４条	労働者４名に、２〜８か月分の所定賃金（累計総額約134万円）を所定支払日に支払わなかったもの	H29.3.8送検	
兵庫労働局	平成29年９月30日	（有）ＹＡＭＡＴＯ	大阪府堺市西区	H29.3.22	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第565条,	吊り足場の解体工事を行わせるに際し、法定の足場の組立て等作業主任者を選任しなかったもの	H29.3.22送検	
兵庫労働局	平成29年９月30日	ヤマト運輸（株） 神戸深江支店	兵庫県神戸市東灘区	H29.3.24	労働安全衛生法第20条,労働安全衛生規則第151条の７,労働者派遣法第45条	運転中のフォークリフトと接触するおそれのある場所に、危険防止措置を行わず労働者を立ち入らせたもの	H29.3.24送検	
兵庫労働局	平成29年９月30日	（株）立雲	兵庫県朝来市	H29.3.24	労働安全衛生法第21条,労働安全衛生規則第518条	急傾斜地の測量を高さ約６ｍの法枠工内で行わせるに際し、墜落防止措置を行わなかったもの	H29.3.24送検	
兵庫労働局	平成29年９月30日	森永乳業（株）　神戸工場	兵庫県神戸市灘区	H29.3.24	労働安全衛生法第20条,労働安全衛生規則第107条	機械の不具合を解消（調整）する作業を、その機械にはさまれるおそれがあるのに、機械を停止せず行わせたもの	H29.3.24送検	
兵庫労働局	平成29年９月30日	（株）国益電業社	兵庫県洲本市	H29.5.11	労働安全衛生法第21条,労働安全衛生規則第519条	ＴＶ映像不良調査作業に際し、直下まで高さ約15ｍの屋上作業場の端からの墜落防止措置を行わなかったもの	H29.5.11送検	
兵庫労働局	平成29年９月30日	（医）清流会　貞光病院	兵庫県加古川市	H29.5.19	最低賃金法第４条	労働者14名に対し、１か月間の定期賃金合計185万円を支払わなかったもの	H29.5.19送検	
兵庫労働局	平成29年９月30日	大原商店	兵庫県姫路市	H29.6.2	労働安全衛生法第21条,労働安全衛生規則第518条,労働者派遣法第45条	解体工事現場で高さ約５ｍの場所でのシートはずし作業の際、足場設置等の墜落防止措置を行わなかったもの	H29.6.2送検	
兵庫労働局	平成29年９月30日	灘タクシー（株）	兵庫県神戸市灘区	H29.7.11	労働基準法第24条	労働者４名に、１か月分賃金総額約105万円）を所定支払日に支払わなかったもの	H29.7.11送検	
兵庫労働局	平成29年９月30日	（株）寺西工務店	兵庫県淡路市	H29.9.4	労働安全衛生法第20条,労働安全衛生規則第564条	高さ約５ｍの足場の端で、安全帯を使用させることなく労働者に足場材の緊結作業を行わせたもの	H29.9.4送検	
兵庫労働局	平成29年９月30日	（株）Ｋ＆Ｍ	兵庫県明石市	H29.9.13	最低賃金法第４条	労働者４名に、１か月間の定期賃金合計約32万円を支払わなかったもの	H29.9.13送検	
奈良労働局	平成29年５月31日	（株）Ｉ・Ｔ・Ｏ　吉野工場	奈良県吉野郡大淀町	H28.10.4	労働安全衛生法第20条,労働安全衛生規則第101条,労働者派遣法第45条	ベルトコンベヤーに、危険防止措置として覆い等を設置することなく労働者に作業を行わせたもの	H28.10.4送検	
奈良労働局	平成29年５月31日	（株）Ｉ・Ｔ・Ｏ	奈良県奈良市	H28.10.11	労働安全衛生法第61条,労働安全衛生法施行令第20条,労働者派遣法第45条	無資格の労働者にショベルローダーを運転させたもの	H28.10.11送検	
奈良労働局	平成29年５月31日	（株）サンミ	奈良県桜井市	H28.12.1	労働安全衛生法第20条,労働安全衛生規則第123条	丸のこ盤に、歯の接触予防装置を設置することなく労働者に作業を行わせたもの	H28.12.1送検	
奈良労働局	平成29年５月31日	（株）Ｉ・Ｔ・Ｏ	奈良県奈良市	H29.1.19	労働安全衛生法第20条,労働安全衛生規則第151条の78,労働者派遣法第45条	コンベヤーに、非常停止装置を設置することなく労働者に作業を行わせたもの	H29.1.19送検	
奈良労働局	平成29年５月31日	鳳正建設	奈良県宇陀市	H29.1.25	労働安全衛生法第20条,労働安全衛生規則第164条	ドラグショベルによる荷のつり上げを行い、ドラグショベルを主たる用途以外の用途に使用したこと	H29.1.25送検	
奈良労働局	平成29年５月31日	野崎建設	奈良県香芝市	H29.2.17	労働安全衛生法第100条,労働安全衛生規則第97条	約90日間の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H29.2.17送検	
奈良労働局	平成29年５月31日	大阪精工（株）　奈良工場	奈良県磯城郡川西町	H29.5.23	労働安全衛生法第20条,労働安全衛生規則第107条	機械の運転を停止することなく労働者に機械の調整作業（異物の除去）を行わせたもの	H29.5.23送検	
和歌山労働局	平成29年９月30日	（株）和歌山吉野組	和歌山県和歌山市	H28.11.8	労働安全衛生法第20条,労働安全衛生規則第279条	解体工事現場の天井に易燃性の物体が吹き付けられた状態でガス溶接機を使用させたもの	H28.11.8送検	
和歌山労働局	平成29年９月30日	（株）エース産業	和歌山県海南市	H28.11.14	労働基準法第32条	労働者８名に、36協定の延長時間を超える違法な時間外・休日労働を行わせたもの	H28.11.14送検	
和歌山労働局	平成29年９月30日	日出染業（株）	和歌山県和歌山市	H29.1.6	労働安全衛生法第100条,労働安全衛生規則第97条	フォークリフトの無資格を隠蔽するために虚偽の内容の労働者死傷病報告書を労働基準監督署長に提出したもの	H29.1.6送検	
和歌山労働局	平成29年９月30日	吉中工務店	三重県南牟婁郡紀宝町	H29.3.9	労働安全衛生法第20条,労働安全衛生規則第563条	高さ2.85ｍの足場において手すり等を設けず、また、転位等しないよう足場を取り付けていなかったもの	H29.3.9送検	
和歌山労働局	平成29年９月30日	紀の里農業協同組合	和歌山県紀の川市	H29.8.18	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外・休日労働を行わせたもの	H29.8.18送検	
和歌山労働局	平成29年９月30日	（有）兼萬	和歌山県和歌山市	H29.9.22	労働基準法第101条	労働基準監督官が臨検した際に虚偽の陳述をし、また、虚偽の記載をした帳簿書類を提出したもの	H29.9.22送検	
鳥取労働局	平成29年９月30日	便利屋若旦那	鳥取県八頭郡若桜町	H28.11.24	労働基準法第24条,最低賃金法第４条	労働者３名に、１か月分の定期賃金約21万円を支払わなかったもの	H28.11.24送検	
鳥取労働局	平成29年９月30日	安泰アパレル（株）	鳥取県西伯郡伯耆町	H28.11.29	労働基準法第101条	労働基準監督官が臨検した際に虚偽の陳述をし、また、虚偽の記載をした帳簿を提出したもの	H28.11.29送検	
鳥取労働局	平成29年９月30日	Ｌ物流（株）　境港営業所	鳥取県境港市	H28.11.29	労働基準法第32条	労働者４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H28.11.29送検	
鳥取労働局	平成29年９月30日	（有）シンセリティ・コンサルタント	鳥取県東伯郡北栄町	H29.1.30	労働基準法第24条	労働者２名に１か月分の定期賃金を支払わなかったもの	H29.1.30送検	
鳥取労働局	平成29年９月30日	（株）ニシガキ	鳥取県鳥取市	H29.7.6	最低賃金法第４条	労働者２名に、１か月分の定期賃金約35万円を支払わなかったもの	H29.7.6送検	
鳥取労働局	平成29年９月30日	鳥取安泰（株）	鳥取県八頭郡若桜町	H29.8.1	労働基準法第32条	外国人技能実習生１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.8.1送検	
鳥取労働局	平成29年９月30日	（株）西本工芸	鳥取県八頭郡若桜町	H29.8.1	労働基準法第32条	外国人技能実習生１名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.8.1送検	
鳥取労働局	平成29年９月30日	(有)森木産業	鳥取県八頭郡八頭町	H29.8.30	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者に不整地運搬車を運転させたもの	H29.8.30送検	
鳥取労働局	平成29年９月30日	(有)大栄ソーイング	鳥取県米子市	H29.9.7	労働基準法第32条	外国人技能実習生３名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.9.7送検	
鳥取労働局	平成29年９月30日	(株)サンコーソーイング	鳥取県米子市	H29.9.7	労働基準法第32条	外国人技能実習生４名に、36協定の延長時間を超える違法な時間外労働を行わせたもの	H29.9.7送検	
島根労働局	平成29年９月30日	（株）テクノア	島根県松江市	H28.10.6	労働基準法第32条	労働者３人に36協定の締結・届出なく違法な時間外労働を行わせたもの	H28.10.6送検	
島根労働局	平成29年９月30日	（有）森商建設	島根県邑智郡邑南町	H29.1.20	労働安全衛生法第20条,労働安全衛生規則第151条の95	車両系木材伐出機械に接触することにより危険が生ずるおそれのある箇所に労働者を立ち入らせたもの	H29.1.20送検	
島根労働局	平成29年９月30日	日豊トランスポート（株）浜田営業所	島根県浜田市	H29.3.27	労働基準法第32条	労働者８人に有効な36協定の締結・届出なく違法な時間外労働を行わせたもの	H29.3.27送検	
島根労働局	平成29年９月30日	（有）ひがし屋物流	島根県松江市	H29.6.2	労働安全衛生法第100条,石綿障害予防規則第5条	石綿の除去作業を行うに当たり、その作業届を提出しなかったもの	H29.6.2送検	
島根労働局	平成29年９月30日	農事組合法人中国牧場	島根県仁多郡奥出雲町	H29.7.31	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の運転者にフォークリフトを運転させたもの	H29.7.31送検	
岡山労働局	平成29年８月31日	（株）藤井工業	岡山県岡山市南区	H28.10.7	労働安全衛生法第100条,労働安全衛生規則第97条	休業４日以上を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H28.10.7送検	
岡山労働局	平成29年８月31日	（有）津山緑化	岡山県津山市	H28.10.31	労働安全衛生法第100条,労働安全衛生規則第97条	休業１日以上を要する労働災害が発生したのに、報告期日までに労働者死傷病報告を提出しなかったもの	H28.10.31送検	
岡山労働局	平成29年８月31日	落合砕石（株）	岡山県真庭市	H28.11.15	労働安全衛生法第21条,労働安全衛生規則第519条	高さ4.5ｍの作業通路の端に囲い等を設けることなく労働者に作業を行わせたもの	H28.11.15送検	
岡山労働局	平成29年８月31日	竹藤建設（株）	岡山県真庭市	H28.12.9	労働安全衛生法第20条,労働安全衛生規則第157条	運行経路の転落防止措置を講じることなく労働者にドラッグ・ショベルを用いて作業を行わせたもの	H28.12.9送検	
岡山労働局	平成29年８月31日	（株）ヒラマツ	岡山県新見市	H29.3.21	最低賃金法第４条	労働者２名に、23か月間の定期賃金合計約419万円を支払わなかったもの	H29.3.21送検	
岡山労働局	平成29年８月31日	拓美社（有）	岡山県美作市	H29.6.1	最低賃金法第４条	労働者５名に、３か月間の定期賃金合計約81万円を支払わなかったもの	H29.6.1送検	
岡山労働局	平成29年８月31日	アサヒフォージ（株）  岡山真庭工場	岡山県真庭市	H29.7.18	労働安全衛生法第20条,労働安全衛生規則第151条の７	走行中のフォークリフト又はその荷に接触するおそれのある場所に、労働者を立ち入らせたもの	H29.7.18送検	
広島労働局	平成29年９月30日	神原タグマリンサービス（株）	広島県福山市	H28.10.11	労働安全衛生法第14条,労働安全衛生法施行令第６条,酸素欠乏症等防止規則第11条	修繕中の台船のボイドスペースにおける作業において、酸素欠乏危険作業主任者を選任しなかったもの	H28.10.11送検	
広島労働局	平成29年９月30日	加藤茂樹（持帰り弁当店）	広島県広島市安佐南区	H28.10.11	最低賃金法第４条	労働者13名に、２か月分の定期賃金約154万円を支払わなかったもの	H28.10.11送検	
広島労働局	平成29年９月30日	錦建設（株）	広島県広島市中区	H28.11.2	労働安全衛生法第31条,労働安全衛生規則第656条	構造規格に適合しない工事用エレベーターを下請負人に使用させたもの	H28.11.2送検	
